,Customer Name,Actual Value,predicted value,Difference
38,AJ,4.586666666666667,4.566666666666666,0.020000000000000462
44,V123,4.453333333333333,4.453333333333333,0.0
27,Guddu,9.666666666666666,9.6,0.06666666666666643
40,sk9,5.613333333333333,6.686666666666667,-1.0733333333333341
36,arihaa,3.8866666666666667,3.8866666666666667,0.0
82,SV,4.566666666666666,4.453333333333333,0.11333333333333329
58,301,1.2633333333333334,1.02,0.2433333333333334
69,vidsy,8.633333333333333,8.13,0.5033333333333321
86,4040,3.8866666666666667,3.8866666666666667,0.0
56,Raj,6.886666666666667,6.886666666666667,0.0
67,vidsy_SCH2,0.33,0.22000000000000006,0.10999999999999996
53,himanshu_cust,6.826666666666667,7.186666666666667,-0.3600000000000003
48,NEWCURR,3.776666666666667,3.776666666666667,0.0
66,107,4.0,3.8866666666666667,0.11333333333333329
63,Anuj,4.113333333333333,1.02,3.0933333333333333
10,5050,0.22,0.22000000000000006,-5.551115123125783e-17
2,ORAILDESIGNS,7.496666666666667,7.06,0.4366666666666674
35,Suzen,3.89,0.11,3.7800000000000002
68,GST,4.113333333333333,4.113333333333333,0.0
45,GCJ,6.573333333333333,5.666666666666667,0.9066666666666663
19,Sk5,2.1,4.333333333333333,-2.233333333333333
81,1010,0.22,0.22000000000000006,-5.551115123125783e-17
34,sk8,1.8333333333333333,3.0,-1.1666666666666667
32,vi,4.8933333333333335,2.9266666666666663,1.9666666666666672
31,sk18,0.22,0.22000000000000006,-5.551115123125783e-17
43,smtosh,3.8866666666666667,3.8866666666666667,0.0
62,munna,0.22,0.22000000000000006,-5.551115123125783e-17
